753,349,572.5490196078431
779,351,603.9215686274509
788,361,611.764705882353
776,369,588.2352941176471
730,329,556.8627450980392
677,286,541.1764705882352
641,266,525.4901960784314
625,254,517.6470588235295
619,245,517.6470588235295
614,239,517.6470588235295
609,239,525.4901960784314
604,232,509.8039215686274
594,230,509.8039215686274
590,238,517.6470588235295
573,228,517.6470588235295
549,220,525.4901960784314
525,209,533.3333333333334
507,232,533.3333333333334
500,233,541.1764705882352
497,220,533.3333333333334
519,213,533.3333333333334
518,209,525.4901960784314
512,216,525.4901960784314
511,217,533.3333333333334
503,217,533.3333333333334
501,224,541.1764705882352
504,233,541.1764705882352
506,241,541.1764705882352
510,251,549.0196078431374
521,242,549.0196078431374
533,228,525.4901960784314
543,235,501.96078431372547
